epoch,eval_acc,eval_auc,eval_auc_attr0_group0,eval_auc_attr0_group1,eval_auc_attr0_group2,eval_auc_attr0_max_group_disparity,eval_auc_attr0_std_group_disparity,eval_auc_attr1_group0,eval_auc_attr1_group1,eval_auc_attr1_max_group_disparity,eval_auc_attr1_std_group_disparity,eval_auc_attr2_group0,eval_auc_attr2_group1,eval_auc_attr2_max_group_disparity,eval_auc_attr2_std_group_disparity,eval_auc_attr3_group0,eval_auc_attr3_group1,eval_auc_attr3_group2,eval_auc_attr3_max_group_disparity,eval_auc_attr3_std_group_disparity,eval_dpd_attr0,eval_dpd_attr1,eval_dpd_attr2,eval_dpd_attr3,eval_eod_attr0,eval_eod_attr1,eval_eod_attr2,eval_eod_attr3,eval_es_acc_attr0,eval_es_acc_attr1,eval_es_acc_attr2,eval_es_acc_attr3,eval_es_auc_attr0,eval_es_auc_attr1,eval_es_auc_attr2,eval_es_auc_attr3,eval_loss,trn_loss
15,0.5074,0.5281,0.5304,0.6112,0.5055,0.2003,0.0855,0.5211,0.5388,0.0335,0.0167,0.5281,0.5633,0.0668,0.0334,0.5191,0.581,0.595,0.1438,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.4765,0.5189,0.5101,0.4678,0.7023,0.7177
16,0.5074,0.5446,0.6898,0.5699,0.552,0.253,0.1123,0.5303,0.5597,0.054,0.027,0.557,0.3439,0.3913,0.1957,0.5566,0.2476,0.6225,0.6884,0.3001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.4623,0.529,0.4489,0.3927,0.7606,0.717
17,0.5234,0.557,0.6396,0.6437,0.5205,0.2211,0.1026,0.5409,0.5784,0.0673,0.0337,0.5517,0.6787,0.2281,0.1141,0.5534,0.6286,0.415,0.3834,0.1588,0.1016,0.003,0.0582,0.0109,0.1667,0.0122,0.1058,0.1152,0.413,0.5169,0.505,0.3967,0.4619,0.5368,0.4942,0.4576,0.7218,0.7186
18,0.5117,0.5847,0.6241,0.6895,0.599,0.1547,0.0652,0.5871,0.5753,0.0202,0.0101,0.5838,0.6652,0.1391,0.0695,0.596,0.5905,0.6425,0.089,0.0399,0.064,0.0362,0.0557,0.0576,0.0749,0.0551,0.0618,0.0662,0.4075,0.5099,0.4561,0.3349,0.5046,0.5778,0.5407,0.5438,0.7368,0.7179
19,0.5521,0.5788,0.6476,0.6815,0.5496,0.2278,0.0966,0.5533,0.6194,0.1142,0.0571,0.5766,0.6923,0.1999,0.1,0.5747,0.619,0.6625,0.1517,0.0619,0.0846,0.0626,0.0055,0.1374,0.0965,0.0725,0.0496,0.2304,0.4523,0.5464,0.5357,0.4241,0.4821,0.5429,0.5188,0.5132,0.6918,0.7065
20,0.5011,0.5509,0.598,0.5232,0.5661,0.1358,0.0556,0.5552,0.5411,0.0255,0.0128,0.5515,0.6222,0.1283,0.0641,0.5565,0.4381,0.5925,0.2803,0.1197,0.0119,0.0079,0.0065,0.02,0.0306,0.0148,0.0349,0.1,0.405,0.4927,0.4423,0.3291,0.5053,0.5432,0.5139,0.4749,0.6991,0.7035
21,0.5372,0.6319,0.5924,0.6594,0.6373,0.1059,0.0441,0.6377,0.6248,0.0204,0.0102,0.6295,0.8145,0.2928,0.1464,0.635,0.7619,0.66,0.2007,0.0868,0.0939,0.0149,0.0128,0.0375,0.1549,0.0243,0.1157,0.0783,0.4273,0.5226,0.4599,0.3596,0.5893,0.6239,0.5333,0.5443,0.6945,0.704
22,0.5011,0.5973,0.6476,0.6641,0.5714,0.1552,0.0676,0.59,0.6088,0.0316,0.0158,0.5934,0.681,0.1466,0.0733,0.5965,0.6381,0.5262,0.1872,0.0773,0.0109,0.0026,0.0155,0.0092,0.02,0.0042,0.0436,0.0174,0.4059,0.4906,0.4423,0.3337,0.5226,0.5863,0.5492,0.5369,0.7124,0.7029
23,0.5851,0.6282,0.6402,0.6501,0.6307,0.0307,0.0126,0.6154,0.6458,0.0485,0.0242,0.6293,0.6629,0.0534,0.0267,0.6324,0.5333,0.66,0.2016,0.0866,0.145,0.0131,0.1635,0.0342,0.241,0.0311,0.2098,0.1294,0.4781,0.5791,0.56,0.5289,0.6062,0.6097,0.6066,0.5556,0.6753,0.6967
24,0.5543,0.585,0.6303,0.6857,0.5756,0.1881,0.0768,0.5913,0.5755,0.027,0.0135,0.5815,0.7014,0.2049,0.1025,0.5879,0.6095,0.65,0.1062,0.044,0.1578,0.0079,0.1318,0.0533,0.2156,0.0213,0.1617,0.2571,0.4539,0.5512,0.5389,0.452,0.5063,0.5759,0.5224,0.5354,0.6863,0.6973
